Classifier,Type,Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
TimeSeriesForestClassifier,sktime,22.269112586975098,2.7629666328430176,0.9008620689655172,0.9008620689655172,0.896551724137931,0.0991379310344827,0.9008620689655172,0.9788069113253868
SupervisedTimeSeriesForest,sktime,108.52825140953064,5.972762107849121,0.9224137931034484,0.9310344827586208,0.9224137931034484,0.1077586206896551,0.9310344827586208,0.9901072162434312
RandomIntervalSpectralEnsemble,sktime,243.88860988616943,38.08637452125549,0.9051724137931034,0.9008620689655172,0.9008620689655172,0.1982758620689655,0.9051724137931036,0.980258471324114
RandomIntervalClassifier,sktime,588.8286912441254,40.8342924118042,0.913793103448276,0.9267241379310344,0.918103448275862,0.0991379310344827,0.9267241379310344,0.9848057030643294
ShapeletTransformClassifier,sktime,1212.480474948883,78.70453643798828,0.896551724137931,0.8922413793103449,0.8879310344827587,0.1293103448275862,0.896551724137931,0.9729466244929352
KNeighborsTimeSeriesClassifier,sktime,5.884181499481201,86.92350316047668,0.771551724137931,0.771551724137931,0.771551724137931,0.3577586206896552,0.771551724137931,0.8288579083134678
ComposableTimeSeriesForestClassifier,sktime,1692.1357390880585,182.42990231513977,0.8879310344827587,0.8879310344827587,0.8922413793103449,0.1206896551724138,0.8922413793103449,0.977710807136479
WEASEL,sktime,139.519011,11.410333,0.918103,0.918103,0.918103,0.159483,0.918103,0.980588
MUSE,sktime,279.7887182235718,34.747119665145874,0.9568965517241379,0.9655172413793104,0.9612068965517241,0.0603448275862069,0.9655172413793104,0.9944890441902681
ENSEMBLE,sktime,829.517566,38.091369,0.961207,0.956897,0.956897,0.051724,0.961207,0.994616
